,url,check
48,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Paid-staff-undertaking-volunteer-roles/,
49,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Contracts-and-legal/Secondment/,
50,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Maternity-paternity-and-adoption/,
51,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Maternity-paternity-and-adoption/Maternity/,
52,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Maternity-paternity-and-adoption/Paternity/,
53,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Maternity-paternity-and-adoption/Adoption/,
54,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Maternity-paternity-and-adoption/Parental-leave/,
55,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Maternity-paternity-and-adoption/shared-parental-leave/,
56,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Flexible-working/,
57,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Flexible-working/The-right-to-request-flexible-working/,
58,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Flexible-working/Career-break-model-policy/,
59,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Flexible-working/job-sharing/,
60,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Flexible-working/Secondment/,
61,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Flexible-working/Flexible-working/,
62,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Flexible-working/Leave-Special-Leave/,
63,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Dignity-and-equality/,
64,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Dignity-and-equality/Dignity-at-work-guidance-and-model-policy/,
65,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Dignity-and-equality/Disability-equality-how-to-adopt-two-ticks/,
66,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Dignity-and-equality/Ex-offenders-guidance-and-policy-on-recruitment/,
67,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Dignity-and-equality/Transsexual-employees-good-practice-for-employers/,
68,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Dignity-and-equality/Staff-with-HIV-creating-an-inclusive-environment/,
69,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Dignity-and-equality/Domestic-violence-model-policy/,
70,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/,
71,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Appraisals-and-supervision-of-paid-staff/,
72,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Disciplinary-procedures/,
73,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Guidance-on-conducting-a-review-meeting/,
